Provincia,Localidad,Hospital / Unidad Docente,Especialidad,Plazas Ofertadas,Latitud,Longitud
GRANADA,GRANADA,UDM SALUD MENTAL H. UNIVERSITARIO VIRGEN DE LAS NIEVES. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,3,37.1734995,-3.5995337
GRANADA,GRANADA,UDM SALUD MENTAL H. UNIVERSITARIO SAN CECILIO DE GRANADA. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,2,37.1734995,-3.5995337
GRANADA,GRANADA,UDM AFYC DISTRITO ATENCIÓN PRIMARIA GRANADA METROPOLITANO. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,11,37.1734995,-3.5995337
GRANADA,GRANADA,UDM OBSTETRICIA Y GINECOLOGÍA H. UNIVERSITARIO VIRGEN DE LAS NIEVES. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,6,37.1734995,-3.5995337
GRANADA,GRANADA,UDM OBSTETRICIA Y GINECOLOGÍA H. UNIVERSITARIO SAN CECILIO. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,4,37.1734995,-3.5995337
GRANADA,GRANADA,UDM PEDIATRÍA DEL H. UNIVERSITARIO VIRGEN DE LAS NIEVES. PLAZAS ELEGIBLES PLAZAS,Enfermería Pediátrica.,5,37.1734995,-3.5995337
GRANADA,GRANADA,UDM PEDIATRÍA DEL H. UNIVERSITARIO SAN CECILIO. PLAZAS ELEGIBLES PLAZAS,Enfermería Pediátrica.,4,37.1734995,-3.5995337
GRANADA,GRANADA,UDM SALUD LABORAL DE ANDALUCÍA. H.U. SAN CECILIO. SPRL GRANADA. PLAZAS ELEGIBLES PLAZAS,Enfermería Del Trabajo.,2,37.1734995,-3.5995337
GRANADA,MOTRIL,UDM SALUD MENTAL H. DE MOTRIL-AGS SUR GRANADA. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,1,36.7450888,-3.5207655
GRANADA,MOTRIL,UDM AFYC ÁREA DE GESTIÓN SANITARIA SUR DE GRANADA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,10,36.7450888,-3.5207655
GRANADA,MOTRIL,UDM OBSTETRICIA Y GINECOLOGÍA A.G.S. SUR DE GRANADA-H. GENERAL BÁSICO SANTA ANA. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,2,36.7450888,-3.5207655
HUELVA,HUELVA,UDM SALUD MENTAL DEL H. JUAN RAMÓN JIMÉNEZ. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,3,37.2575874,-6.9484945
HUELVA,HUELVA,UDM AFYC DISTRITO ATENCIÓN PRIMARIA HUELVA COSTA-CONDADO- CAMPIÑA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,20,37.2575874,-6.9484945
HUELVA,HUELVA,UDM OBSTETRICIA Y GINECOLOGÍA HOSPITAL JUAN RAMÓN JIMÉNEZ. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,4,37.2575874,-6.9484945
HUELVA,HUELVA,UDM SALUD LABORAL ANDALUCÍA. H. JUAN RAMÓN JIMÉNEZ. SPRL HUELVA. PLAZAS ELEGIBLES PLAZAS,Enfermería Del Trabajo.,2,37.2575874,-6.9484945
HUELVA,MINAS DE RIOTINTO,UDM AFYC ÁREA DE GESTIÓN SANITARIA NORTE DE HUELVA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,6,37.6934573,-6.5957844
JAÉN,ANDÚJAR,UDM AFYC AGS NORTE Y NORDESTE DE JAÉN. H. ALTO GUADALQUIVIR. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,1,38.0392362,-4.0505603
JAÉN,JAÉN,UDM SALUD MENTAL DEL C.H. JAÉN. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,3,37.7728858,-3.7883289
JAÉN,JAÉN,UDM AFYC DISTRITO ATENCIÓN PRIMARIA JAÉN-JAÉN SUR. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,16,37.7728858,-3.7883289
JAÉN,JAÉN,UDM OBSTETRICIA Y GINECOLOGÍA DEL HOSPITAL UNIVERSITARIO DE JAÉN. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,4,37.7728858,-3.7883289
JAÉN,JAÉN,UDM PEDIATRÍA DEL C.H. JAÉN. PLAZAS ELEGIBLES PLAZAS,Enfermería Pediátrica.,2,37.7728858,-3.7883289
JAÉN,JAÉN,UDM SALUD LABORAL DE ANDALUCÍA. C.H. DE JAÉN. CPRL JAÉN. PLAZAS ELEGIBLES PLAZAS,Enfermería Del Trabajo.,2,37.7728858,-3.7883289
JAÉN,LINARES,UDM AFYC AGS NORTE Y NORDESTE DE JAÉN. H. SAN AGUSTÍN DE LINARES. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,5,38.0931247,-3.6357207
JAÉN,ÚBEDA,UDM AFYC AGS NORTE Y NORDESTE DE JAÉN. H. SAN JUAN DE LA CRUZ DE ÚBEDA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,7,38.0111398,-3.3719098
MÁLAGA,ANTEQUERA,UD ENFOBG MÁLAGA. H. DE ANTEQUERA. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,2,37.0183652,-4.5596649
MÁLAGA,MÁLAGA,UDM SALUD MENTAL DEL H. REGIONAL UNIVERSITARIO DE MÁLAGA. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,5,36.7213028,-4.4216366
MÁLAGA,MÁLAGA,UDM SALUD MENTAL DEL H. UNIVERSITARIO VIRGEN DE LA VICTORIA. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,5,36.7213028,-4.4216366
MÁLAGA,MÁLAGA,UDM AFYC ÁREA DE GESTIÓN SANITARIA ESTE DE MÁLAGA-AXARQUÍA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,2,36.7213028,-4.4216366
MÁLAGA,MÁLAGA,UDM AFYC ÁREA DE GESTIÓN SANITARIA SERRANÍA RONDA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,2,36.7213028,-4.4216366
MÁLAGA,MÁLAGA,UDM AFYC ÁREA DE GESTIÓN SANITARIA NORTE DE MÁLAGA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,9,36.7213028,-4.4216366
MÁLAGA,MÁLAGA,UDM AFYC DISTRITO ATENCIÓN PRIMARIA MÁLAGA-GUADALHORCE. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,13,36.7213028,-4.4216366
MÁLAGA,MÁLAGA,UDM AFYC DISTRITO ATENCIÓN PRIMARIA COSTA DEL SOL. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,2,36.7213028,-4.4216366
MÁLAGA,MÁLAGA,UD ENFOBG MÁLAGA. H. REGIONAL UNIVERSITARIO DE MÁLAGA. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,8,36.7213028,-4.4216366
MÁLAGA,MÁLAGA,UD ENFOBG MÁLAGA. H. UNIVERSITARIO VIRGEN DE LA VICTORIA. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,2,36.7213028,-4.4216366
MÁLAGA,MÁLAGA,UDM PEDIATRÍA DEL H. REGIONAL UNIVERSITARIO DE MÁLAGA. PLAZAS ELEGIBLES PLAZAS,Enfermería Pediátrica.,5,36.7213028,-4.4216366
MÁLAGA,MÁLAGA,UDM SALUD LABORAL ANDALUCÍA H. REGIONAL UNIVERSITARIO. SPRL MÁLAGA. PLAZAS ELEGIBLES PLAZAS,Enfermería Del Trabajo.,2,36.7213028,-4.4216366
MÁLAGA,MÁLAGA,UDM SALUD LABORAL DE ANDALUCIA. H.QUIRÓNSALUD MÁLAGA. PLAZAS ELEGIBLES PLAZAS,Enfermería Del Trabajo.,1,36.7213028,-4.4216366
MÁLAGA,MARBELLA,UDM OBSTETRICIA Y GINECOLOGÍA DEL H. COSTA DEL SOL. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,2,36.508976,-4.88562
MÁLAGA,RONDA,UD ENFOBG MÁLAGA. AGS SERRANÍA DE RONDA-H. DE LA SERRANÍA. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,2,36.7421339,-5.1665916
MÁLAGA,VÉLEZ - MÁLAGA,UDM SALUD MENTAL ÁREA DE GESTIÓN SANITARIA ESTE DE MÁLAGA- AXARQUÍA. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,1,36.7818354,-4.0988099
MÁLAGA,VÉLEZ - MÁLAGA,UD ENFOBG MÁLAGA. H. DE LA AXARQUÍA. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,2,36.7818354,-4.0988099
SEVILLA,BORMUJOS,UDM AFYC SEVILLA. ZONA SEVILLA ALJARAFE-DISTIRITO SANITARIO ALJARAFE. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,4,37.3715939,-6.07133
SEVILLA,OSUNA,UDM AFYC SEVILLA. ZONA ESTE-AGS OSUNA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,2,37.2373532,-5.1033306
SEVILLA,OSUNA,UD ENFOBG SEVILLA. ÁREA SANITARIA DE OSUNA. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,2,37.2373532,-5.1033306
SEVILLA,SEVILLA,UDM SALUD MENTAL H. UNIVERSITARIO VIRGEN DEL ROCÍO. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,12,37.3886303,-5.9953403
SEVILLA,SEVILLA,UDM SALUD MENTAL H. UNIVERSITARIO VIRGEN DE LA MACARENA. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,4,37.3886303,-5.9953403
SEVILLA,SEVILLA,UDM AFYC SEVILLA. ZONA SEVILLA-DISTRITO SEVILLA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,12,37.3886303,-5.9953403
SEVILLA,SEVILLA,UDM AFYC SEVILLA. ZONA SUR- AGS SUR DE SEVILLA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,2,37.3886303,-5.9953403
SEVILLA,SEVILLA,UDM AFYC SEVILLA. ZONA SEVILLA NORTE. DISTRITO SEVILLA NORTE. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,2,37.3886303,-5.9953403
SEVILLA,SEVILLA,UDM SALUD LABORAL ANDALUCÍA. H.U. VIRGEN DEL ROCÍO. SPRL SEVILLA. PLAZAS ELEGIBLES PLAZAS,Enfermería Del Trabajo.,1,37.3886303,-5.9953403
SEVILLA,SEVILLA,UDM SALUD LABORAL DE ANDALUCÍA. H. QUIRÓNSALUD SAGRADO CORAZÓN. PLAZAS ELEGIBLES PLAZAS,Enfermería Del Trabajo.,1,37.3886303,-5.9953403
SEVILLA,SEVILLA,UDM SALUD LABORAL ANDALUCÍA. H. UNIVERSITARIO VIRGEN MACARENA.SPRL SEVILLA. PLAZAS ELEGIBLES PLAZAS,Enfermería Del Trabajo.,1,37.3886303,-5.9953403
SEVILLA,SEVILLA,UDM OBSTETRICIA Y GINECOLOGÍA H. UNIVERSITARIO NTRA. SRA DE VALME. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,5,37.3886303,-5.9953403
SEVILLA,SEVILLA,UDM OBSTETRICIA Y GINECOLOGÍA H. UNIVERSITARIO VIRGEN DEL ROCÍO. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,10,37.3886303,-5.9953403
SEVILLA,SEVILLA,UDM OBSTETRICIA Y GINECOLOGÍA H. UNIVERSITARIO VIRGEN MACARENA. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,5,37.3886303,-5.9953403
SEVILLA,SEVILLA,UDM PEDIATRÍA DEL H. UNIVERSITARIO VIRGEN DEL ROCÍO. PLAZAS ELEGIBLES PLAZAS,Enfermería Pediátrica.,5,37.3886303,-5.9953403
SEVILLA,SEVILLA,UDM PEDIATRÍA DEL H. UNIVERSITARIO NTRA. SRA. DE VALME. PLAZAS ELEGIBLES PLAZAS,Enfermería Pediátrica.,2,37.3886303,-5.9953403
SEVILLA,SEVILLA,UDM SALUD MENTAL DEL H. UNIVERSITARIO NTRA SRA. DE VALME. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,3,37.3886303,-5.9953403
HUESCA,HUESCA,UDM AFYC DE HUESCA SECTOR I HUESCA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,8,42.1382539,-0.4080901
HUESCA,HUESCA,UDM AFYC DE HUESCA SECTOR II BARBASTRO. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,6,42.1382539,-0.4080901
HUESCA,HUESCA,UD ENFSM DEL GOBIERNO DE ARAGÓN. SECTOR HUESCA. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,3,42.1382539,-0.4080901
HUESCA,HUESCA,UDM OBSTETRICIA Y GINECOLOGÍA DEL H. UNIVERSITARIO SAN JORGE. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,2,42.1382539,-0.4080901
HUESCA,HUESCA,UDM GERIATRÍA DEL H. UNIVERSITARIO SAN JORGE. PLAZAS ELEGIBLES PLAZAS,Enfermería Geriátrica.,2,42.1382539,-0.4080901
TERUEL,ALCAÑIZ,UDM AFYC SECTOR DE ALCAÑIZ. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,6,41.0506674,-0.1299694
TERUEL,TERUEL,UDM SALUD MENTAL DEL H. GENERAL OBISPO POLANCO. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,3,40.3436719,-1.1081939
TERUEL,TERUEL,UDM AFYC SECTOR TERUEL. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,2,40.3436719,-1.1081939
TERUEL,TERUEL,UDM GERIATRÍA H. SAN JOSÉ (SECTOR TERUEL). PLAZAS ELEGIBLES PLAZAS,Enfermería Geriátrica.,1,40.3436719,-1.1081939
ZARAGOZA,CALATAYUD,UDM AFYC SECTOR CALATAYUD. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,2,41.3527628,-1.6422977
ZARAGOZA,ZARAGOZA,UDM SALUD MENTAL H. ROYO VILLANOVA. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,2,41.6521342,-0.8809428
ZARAGOZA,ZARAGOZA,UDM SALUD MENTAL H. UNIVERSITARIO MIGUEL SERVET. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,4,41.6521342,-0.8809428
ZARAGOZA,ZARAGOZA,UDM AFYC SECTOR ZARAGOZA II. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,12,41.6521342,-0.8809428
ZARAGOZA,ZARAGOZA,UDM AFYC SECTOR ZARAGOZA I. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,10,41.6521342,-0.8809428
ZARAGOZA,ZARAGOZA,UDM AFYC SECTOR ZARAGOZA III. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,6,41.6521342,-0.8809428
ZARAGOZA,ZARAGOZA,UDM SALUD LABORAL DEL H. CLÍNICO UNIVERSITARIO LOZANO BLESA. PLAZAS ELEGIBLES PLAZAS,Enfermería Del Trabajo.,2,41.6521342,-0.8809428
ZARAGOZA,ZARAGOZA,UDM SALUD LABORAL DE QUIRONPREVENCIÓN DE ARAGÓN. PLAZAS ELEGIBLES PLAZAS,Enfermería Del Trabajo.,1,41.6521342,-0.8809428
ZARAGOZA,ZARAGOZA,UD ENFOBG ARAGON. H. CLÍNICO UNIVERSITARIO LOZANO BLESA. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,3,41.6521342,-0.8809428
ZARAGOZA,ZARAGOZA,UD ENFSM DEL GOBIERNO DE ARAGÓN. SECTORES ZARAGOZA I Y III. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,6,41.6521342,-0.8809428
ZARAGOZA,ZARAGOZA,UDM OBSTETRICIA Y GINECOLOGÍA H. UNIVERSITARIO MIGUEL SERVET. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,7,41.6521342,-0.8809428
ZARAGOZA,ZARAGOZA,UDM PEDIATRÍA DEL H.UNIVERSITARIO MIGUEL SERVET. PLAZAS ELEGIBLES PLAZAS,Enfermería Pediátrica.,5,41.6521342,-0.8809428
ZARAGOZA,ZARAGOZA,UDM PEDIATRÍA DEL H. CLINICO UNIVERSITARIO LOZANO BLESA DE ZARAGOZA. PLAZAS ELEGIBLES PLAZAS,Enfermería Pediátrica.,2,41.6521342,-0.8809428
ZARAGOZA,ZARAGOZA,UDM GERIATRÍA DEL H. SAN JUAN DE DIOS DE ZARAGOZA. PLAZAS ELEGIBLES PLAZAS,Enfermería Geriátrica.,2,41.6521342,-0.8809428
ZARAGOZA,ZARAGOZA,UDM GERIATRÍA H. NUESTRA SEÑORA DE GRACIA. PLAZAS ELEGIBLES PLAZAS,Enfermería Geriátrica.,1,41.6521342,-0.8809428
ASTURIAS,AVILÉS,UDM SALUD MENTAL PRINCIPADO ASTURIAS (H. UNIVERSITARIO SAN AGUSTÍN). PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,2,43.5554436,-5.9222466
ASTURIAS,AVILÉS,UDM SALUD LABORAL DE ASTURIAS. ÁREA AVILÉS. PLAZAS ELEGIBLES PLAZAS,Enfermería Del Trabajo.,1,43.5554436,-5.9222466
ASTURIAS,GIJÓN,UDM SALUD MENTAL PRINCIPADO ASTURIAS (H. UNIVERSITARIO DE CABUEÑES). PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,3,43.5449422,-5.66275
ASTURIAS,GIJÓN,UDM SALUD LABORAL DE ASTURIAS. ÁREA GIJÓN. PLAZAS ELEGIBLES PLAZAS,Enfermería Del Trabajo.,1,43.5449422,-5.66275
ASTURIAS,GIJÓN,UD ENFOBG SERV.SALUD DEL P. DE ASTURIAS. H. UNIVERSITARIO DE CABUEÑES. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,3,43.5449422,-5.66275
ASTURIAS,GIJÓN,UDM PEDIATRÍA DEL H. UNIVERSITARIO DE CABUEÑES. PLAZAS ELEGIBLES PLAZAS,Enfermería Pediátrica.,1,43.5449422,-5.66275
ASTURIAS,LANGREO,UDM SALUD MENTAL PRINCIPADO ASTURIAS. H. VALLE DEL NALÓN. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,1,43.2950131,-5.683431
